rank	language_script	language	language_name	script	region	new_length	original_length	source_dataset_dir	selection_rule	selection_note	status
277	kin_Latn	kin	Kinyarwanda	Latn		1521612	1727429	/disk3/moon/Glot500/data/raw/kin_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
278	ibo_Latn	ibo	Igbo	Latn		1543820	2112242	/disk3/moon/Glot500/data/raw/ibo_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
279	nso_Latn	nso	Pedi	Latn		1619354	1762116	/disk3/moon/Glot500/data/raw/nso_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
280	hil_Latn	hil	Hiligaynon	Latn		1798875	1961393	/disk3/moon/Glot500/data/raw/hil_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
281	asm_Beng	asm	Assamese	Beng		1882353	2271298	/disk3/moon/Glot500/data/raw/asm_Beng	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
282	hmn_Latn	hmn	Hmong	Latn		1903898	2932597	/disk3/moon/Glot500/data/raw/hmn_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
283	mri_Latn	mri	Maori	Latn		2046850	2750545	/disk3/moon/Glot500/data/raw/mri_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
284	tso_Latn	tso	Tsonga	Latn		2100708	2296093	/disk3/moon/Glot500/data/raw/tso_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
285	ilo_Latn	ilo	Iloko	Latn		2106531	2415693	/disk3/moon/Glot500/data/raw/ilo_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
286	bak_Cyrl	bak	Bashkir	Cyrl		2264196	2810189	/disk3/moon/Glot500/data/raw/bak_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
287	smo_Latn	smo	Samoan	Latn		2290439	2872442	/disk3/moon/Glot500/data/raw/smo_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
288	uzn_Cyrl	uzn	Northern Uzbek	Cyrl		2293672	2466896	/disk3/moon/Glot500/data/raw/uzn_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
289	fao_Latn	fao	Faroese	Latn		2365271	2546797	/disk3/moon/Glot500/data/raw/fao_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
290	yor_Latn	yor	Yoruba	Latn		2392359	2861354	/disk3/moon/Glot500/data/raw/yor_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
291	div_Thaa	div	Dhivehi	Thaa		2418687	2574401	/disk3/moon/Glot500/data/raw/div_Thaa	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
292	war_Latn	war	Waray (Philippines)	Latn		2584810	3707870	/disk3/moon/Glot500/data/raw/war_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
293	sun_Latn	sun	Sundanese	Latn		2586011	4132077	/disk3/moon/Glot500/data/raw/sun_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
294	als_Latn	als	Tosk Albanian	Latn		2954874	3166367	/disk3/moon/Glot500/data/raw/als_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
295	cos_Latn	cos	Corsican	Latn		3015055	5030397	/disk3/moon/Glot500/data/raw/cos_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
296	uzb_Cyrl	uzb	Uzbek	Cyrl		3029947	3128277	/disk3/moon/Glot500/data/raw/uzb_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
297	sot_Latn	sot	Southern Sotho	Latn		3205510	3740542	/disk3/moon/Glot500/data/raw/sot_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
298	hat_Latn	hat	Haitian	Latn		3226932	4849849	/disk3/moon/Glot500/data/raw/hat_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
299	nya_Latn	nya	Nyanja	Latn		3409030	4787390	/disk3/moon/Glot500/data/raw/nya_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
300	arz_Arab	arz	Egyptian Arabic	Arab		3488224	4583352	/disk3/moon/Glot500/data/raw/arz_Arab	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
301	zul_Latn	zul	Zulu	Latn		3580113	5752663	/disk3/moon/Glot500/data/raw/zul_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
302	srp_Cyrl	srp	Serbian	Cyrl		3864091	6398643	/disk3/moon/Glot500/data/raw/srp_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
303	sna_Latn	sna	Shona	Latn		4019596	5300893	/disk3/moon/Glot500/data/raw/sna_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
304	hbs_Cyrl	hbs	Serbo-Croatian	Cyrl		4598073	4670896	/disk3/moon/Glot500/data/raw/hbs_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
305	ast_Latn	ast	Asturian	Latn		4683554	5904175	/disk3/moon/Glot500/data/raw/ast_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
306	tat_Cyrl	tat	Tatar	Cyrl		4708088	5567811	/disk3/moon/Glot500/data/raw/tat_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
307	nno_Latn	nno	Norwegian Nynorsk	Latn		4899103	5776675	/disk3/moon/Glot500/data/raw/nno_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
308	ory_Orya	ory	Odia	Orya		6266475	6834736	/disk3/moon/Glot500/data/raw/ory_Orya	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
309	bos_Latn	bos	Bosnian	Latn		11014744	18211567	/disk3/moon/Glot500/data/raw/bos_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
310	ltz_Latn	ltz	Luxembourgish	Latn		12997242	22948730	/disk3/moon/Glot500/data/raw/ltz_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
311	ceb_Latn	ceb	Cebuano	Latn		18149215	24092692	/disk3/moon/Glot500/data/raw/ceb_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
312	tgk_Cyrl	tgk	Tajik	Cyrl		18659517	23532129	/disk3/moon/Glot500/data/raw/tgk_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
313	nob_Latn	nob	Norwegian Bokmål	Latn		32869205	36747278	/disk3/moon/Glot500/data/raw/nob_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
314	fil_Latn	fil	Filipino	Latn		33493255	42638427	/disk3/moon/Glot500/data/raw/fil_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
315	mlt_Latn	mlt	Maltese	Latn		40654838	65499460	/disk3/moon/Glot500/data/raw/mlt_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
316	guj_Gujr	guj	Gujarati	Gujr		45738685	52006175	/disk3/moon/Glot500/data/raw/guj_Gujr	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
317	aze_Latn	aze	Azerbaijani	Latn		46300705	58416686	/disk3/moon/Glot500/data/raw/aze_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
318	hbs_Latn	hbs	Serbo-Croatian	Latn		63411156	66003673	/disk3/moon/Glot500/data/raw/hbs_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
